name,team,minutes_any,minutes_60,goals,assists,id_2026
Hayden Hackney,Middlesbrough,43,43,5,3,NA
Rami Al Hajj,Plymouth Argyle,28,18,3,0,NA
Ali Al Hamadi,Stoke City,15,11,2,0,NA
Gustavo Hamer,Sheffield Utd,41,36,9,7,NA
Micah Hamilton,Middlesbrough,13,2,0,0,NA
Grant Hanley,Norwich City,3,1,0,0,NA
Ryan Hardie,Plymouth Argyle,37,28,10,3,NA
Wes Harding,Millwall,5,2,0,0,NA
Marcus Harness,Derby County,41,26,4,3,NA
Mark Harris,Oxford United,46,34,6,3,NA
Daiki Hashioka,Luton Town,17,12,0,0,NA
Joseph Hatch,Plymouth Argyle,1,0,0,0,NA
Ryo Hatsuse,Sheffield Weds,6,5,0,0,NA
Isaac Hayden,Portsmouth,17,12,0,0,495
Conor Hazard,Plymouth Argyle,25,25,0,0,NA
Ryan Hedges,Blackburn,42,33,1,2,NA
Torbjørn Heggem,West Brom,45,45,1,2,NA
Michał Helik,Oxford United,20,20,5,0,NA
Onel Hernández,Norwich City,23,5,0,3,NA
Brad Hills,Norwich City,3,0,0,0,NA
Yu Hirakawa,Bristol City,36,17,2,2,NA
Václav Hladký,Burnley,1,1,0,0,185
Rob Holding,Sheffield Utd,10,4,0,1,264
Mason Holgate,West Brom,26,21,1,1,NA
Duane Holmes,Preston,29,6,1,1,NA
Tom Holmes,Luton Town,18,15,1,1,NA
George Honeyman,Millwall,40,28,2,5,NA
Ethan Horvath,Cardiff City,17,17,0,0,NA
Jordan Houghton,Plymouth Argyle,30,15,0,0,NA
Andreas Hountondji,Burnley,9,2,0,0,NA
Jonny Howson,Middlesbrough,21,15,1,0,NA
Andrew Hughes,Preston,40,36,0,1,NA
Charlie Hughes,Hull City,27,26,1,1,NA
Trai Hume,Sunderland,44,43,3,6,532
Bashir Humphreys,Burnley,25,20,1,2,193
Shaun Hutchinson,Millwall,9,4,0,0,NA
Dominic Hyam,Blackburn,46,46,2,2,NA
Adam Idah,Norwich City,1,0,0,0,NA
Kelechi Iheanacho,Middlesbrough,15,9,1,2,NA
Michael Ihiekwe,Sheffield Weds,22,20,2,0,NA
Samuel Iling-Junior,Middlesbrough,16,11,1,2,51
Tom Ince,Watford,32,13,1,1,NA
Svante Ingelsson,Sheffield Weds,35,19,1,5,NA
Matt Ingram,Oxford United,1,1,0,0,NA
Dominic Iorfa,Sheffield Weds,22,17,1,0,NA
Wilson Isidor,Sunderland,43,34,12,2,560
Frederick Issaka,Plymouth Argyle,19,3,1,0,NA
Mihailo Ivanović,Millwall,37,23,12,0,NA
Kayden Jackson,Derby County,46,28,3,2,NA
Matty Jacob,Hull City,8,4,1,0,NA
Daniel James,Leeds United,36,30,12,9,353
William Jarvis,Hull City,6,0,0,0,NA
Daniel Jebbison,Watford,13,3,0,0,NA
Lukas Jensen,Millwall,41,41,0,0,NA
Eom Jisung,Swansea City,37,28,3,2,NA
Viktor Johansson,Stoke City,46,46,0,0,NA
Daniel Johnson,Stoke City,1,0,0,0,NA
Joseph Johnson,Luton Town,8,5,0,0,NA
Marvin Johnson,Sheffield Weds,41,30,0,2,NA
Michael Johnston,West Brom,40,25,3,5,NA
Alfie Jones,Hull City,41,37,0,0,NA
Harrison Jones,Sunderland,4,2,0,0,557
Isaiah Jones,Middlesbrough,21,8,0,0,NA
Isaiah Jones,Luton Town,17,16,2,0,NA
Kyle Joseph,Hull City,16,13,0,0,NA
Mateo Joseph,Leeds United,39,11,3,3,NA
Mads Juel Andersen,Luton Town,8,5,0,0,NA
Bae Junho,Stoke City,45,37,3,5,NA
Matěj Jurásek,Norwich City,2,1,0,0,NA
