name,id_2025,GW,kickoff_time,goals_scored,assists,minutes,team,id_2026
Tommy Setford,639,6,2024-09-28T14:00:00Z,0,0,0,Arsenal,4
Alexis Mac Allister,329,6,2024-09-28T16:30:00Z,0,0,90,Liverpool,386
Endo Wataru,320,6,2024-09-28T16:30:00Z,0,0,0,Liverpool,392
João Pedro Ferreira Silva,596,6,2024-09-28T14:00:00Z,0,0,33,Nott'm Forest,518
Ashley Phillips,478,6,2024-09-29T15:30:00Z,0,0,0,Spurs,576
Keane Lewis-Potter,98,6,2024-09-28T14:00:00Z,0,0,90,Brentford,107
Ben Johnson,275,6,2024-09-29T13:00:00Z,0,0,0,Ipswich,NA
Michael Golding,292,6,2024-09-28T14:00:00Z,0,0,0,Leicester,NA
João Félix Sequeira,621,6,2024-09-28T14:00:00Z,0,0,0,Chelsea,NA
Remi Matthews,209,6,2024-09-28T14:00:00Z,0,0,0,Crystal Palace,255
Alfie Gilchrist,170,6,2024-09-28T14:00:00Z,0,0,0,Chelsea,NA
Nayef Aguerd,529,6,2024-09-28T14:00:00Z,0,0,0,West Ham,607
Emile Smith Rowe,19,6,2024-09-28T14:00:00Z,0,0,87,Fulham,325
Enes Ünal,65,6,2024-09-30T19:00:00Z,0,0,14,Bournemouth,98
Lucas Bergström,154,6,2024-09-28T14:00:00Z,0,0,0,Chelsea,NA
Kacper Kozłowski,130,6,2024-09-28T14:00:00Z,0,0,0,Brighton,NA
Francisco Evanilson de Lima Barbosa,617,6,2024-09-30T19:00:00Z,1,0,75,Bournemouth,97
Axel Tuanzebe,282,6,2024-09-29T13:00:00Z,0,0,90,Ipswich,198
Gabriel Fernando de Jesus,2,6,2024-09-28T14:00:00Z,0,0,1,Arsenal,31
Iliman Ndiaye,232,6,2024-09-28T14:00:00Z,0,0,90,Everton,299
David Raya Martin,15,6,2024-09-28T14:00:00Z,0,0,90,Arsenal,1
Enso González,547,6,2024-09-28T16:30:00Z,0,0,0,Wolves,NA
Archie Gray,489,6,2024-09-29T15:30:00Z,0,0,0,Spurs,591
Christopher Nkunku,181,6,2024-09-28T14:00:00Z,0,0,11,Chelsea,240
Manuel Akanji,340,6,2024-09-28T11:30:00Z,0,0,90,Man City,404
Kaelan Casey,643,6,2024-09-28T14:00:00Z,0,0,0,West Ham,611
Ryan Gravenberch,323,6,2024-09-28T16:30:00Z,0,0,90,Liverpool,390
Joe Willock,420,6,2024-09-28T11:30:00Z,0,0,13,Newcastle,494
Mark Flekken,91,6,2024-09-28T14:00:00Z,0,0,90,Brentford,NA
Lewis Cook,64,6,2024-09-30T19:00:00Z,0,2,90,Bournemouth,88
Alex Iwobi,247,6,2024-09-28T14:00:00Z,0,0,90,Fulham,324
Ethan Nwaneri,12,6,2024-09-28T14:00:00Z,0,0,5,Arsenal,25
Ross Stewart,473,6,2024-09-30T19:00:00Z,0,0,45,Southampton,NA
Matt Doherty,543,6,2024-09-28T16:30:00Z,0,0,0,Wolves,632
Alejo Véliz,507,6,2024-09-29T15:30:00Z,0,0,0,Spurs,NA
Ilkay Gündogan,625,6,2024-09-28T11:30:00Z,0,0,65,Man City,420
Isaac Hayden,400,6,2024-09-28T11:30:00Z,0,0,0,Newcastle,495
Wilson Odobert,612,6,2024-09-29T15:30:00Z,0,0,0,Spurs,588
Conor Bradley,313,6,2024-09-28T16:30:00Z,0,0,0,Liverpool,375
Tom Cairney,243,6,2024-09-28T14:00:00Z,0,0,0,Fulham,331
Jarell Quansah,333,6,2024-09-28T16:30:00Z,0,0,0,Liverpool,NA
Jacob Ramsey,53,6,2024-09-29T13:00:00Z,0,0,90,Aston Villa,52
Emiliano Buendía Stati,31,6,2024-09-29T13:00:00Z,0,0,6,Aston Villa,50
James McAtee,357,6,2024-09-28T11:30:00Z,0,0,0,Man City,426
Andrew Robertson,335,6,2024-09-28T16:30:00Z,0,0,88,Liverpool,372
